question,questionText,type
urn:LCQuAD:id:4635,What is the occupation of the Irving Chernev and Karen Grigorian?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2527,"What sport amongst the one Lagos Preparatory School practices, did Willian Garne play for?",http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:151,Which sports are played at institues in Taguig?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:4863,List the common sports between Fr. Agnel Multipurpose School  and Jamiatu Muslim Mindanao,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:4058,What is the game whose genre is Mind sport?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1351,What is the field of the Jon Speelman and occupation of the Karen Grigorian?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2932,What are the sports played by the universities who also plays taekwondo ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1867,What made Jon Speelman and Eric Schiller famous?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2067,Name the sports played by Fr. Agnel Multipurpose School and Junior College?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2078,What games are played at universities in Lanao Del Sur?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2525,What sports are played at institutes affiliated by the Association of Southeast Asian Institutes of Higher Learning?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:693,Which board game can be said as a mind based game?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1569,Where were some people associated with Steve Winwood employed at?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2980,What sports are played at Vishwajyot High School?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:937,Which non fiction of the Thud is also the field of the Jon Speelman ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1444,What sports are played at universities affiliated by States Colleges and Universities athletic association?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1162,Name the sports played by Jamiatu Muslim Mindanao?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:4099,What did other artists associated with the Shirelles make?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:156,What are the kind of games one can play on windows?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2603,Name the common sports played at Polytechnic University of Philippines San Juan and Islamic Azad University?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1732,"Of the sports commonly played at Islamic Azad Uni, tehran, which one does Jon Speelman play?",http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2380,What sports are played in schools in Vashi?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:865,"What sport has made Eric Schiller famous, and has employed Craig Van Tibury?",http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3298,What do craig Van tilbury and karen Grigorian do for a living?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:4829,Where the children of Ashot Grashi employed at?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3371,What is the occupation of the band members of The Shirelles?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2440,Which job of Irving Chernev is the non-fiction subject of the Thud ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:4048,List the sports played in private universities.,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2649,"What sport is Eric Schiller known for, and employes Craig Van Tibury?",http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3536,What sport played in Polytechnic uni of San Juan has also made advocate nasiruddin famous?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3837,Which sports exist in the universities whose president is Emanuel de Guzman?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2068,Which athletics of Jaimatu Muslim Mindano is same as the genre of the Fritz Chess ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3691,What are the common sports played by jamiatu Muslim mindanao and Polytechnic University of Philippines Taguig ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:359,"What is common between sports played at Fr Agnel School and Jr college, and the genre of Virtual Kasparov?",http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:892,What are the things Eric Schiller known for ?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:1297,What games can be played in schools founded by Fr. Orlando?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:3619,What kind of games does Blizzard games develop?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:148,what are some common games played at both Fr Agnel Multipurpose School and Vishwajyot High School?,http://dbpedia.org/ontology/Activity
urn:LCQuAD:id:2653,What is the river whose mouth is in deadsea?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:589,What is the region of Tom Perriello ?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:3351,In which part of the world can i find Xynisteri and Mavro?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:4615,In which countries can i find some feminist writers?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:79,Where is the swedish covenant hospital?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:931,Which country s largest city is Lima?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:1090,Where is Emmett Hughes from?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:4487,What is the layout of the cars similar to that of the Subaru Outback?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:3580,In which country is the Duong river?,http://dbpedia.org/ontology/Place
urn:LCQuAD:id:3591,"Whose album is Haiti, I am sorry?",http://dbpedia.org/ontology/Place
